id;match;sort_order;team;player;related_player;manager;incident_type;incident_class;period;minute;added_time;reversed_period_time;is_home;impact_side;is_confirmed;is_rescinded;reason;description;is_injury;home_score;away_score;length;body_part;goal_type;situation;shot_type;player_x;player_y;pass_end_x;pass_end_y;shot_x;shot_y;goal_mouth_x;goal_mouth_y;goalkeeper_x;goalkeeper_y;source_match_id;source_incident_id;source;edited
01KNDJDQF3JSVHB5MSWY7H5CHG;01KNDAWE7SW0N3R8XB5XB1FHDT;1;;;;;period;;FT;90;999;1;;neutral;;;;;;2;2;;;;;;;;;;;;;;;;15237889;synthetic-15237889-period--FT-90-999-1-----1;sofascore;false
01KNDJDQF3MF73Z3G8A4D00TG9;01KNDAWE7SW0N3R8XB5XB1FHDT;2;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q2MWZ3BKTJCNJDEJV;;;card;yellow;;90;8;1;true;away;;false;Argument;;;;;;;;;;;;;;;;;;;;15237889;124563585;sofascore;false
01KNDJDQF320RVSJC9YV79T1DA;01KNDAWE7SW0N3R8XB5XB1FHDT;3;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QPV671DG1X5GFM6GC;;;card;yellow;;90;7;1;true;away;;false;Foul;;;;;;;;;;;;;;;;;;;;15237889;124563573;sofascore;false
01KNDJDQF332C3BP7RBRDAK39Y;01KNDAWE7SW0N3R8XB5XB1FHDT;4;;;;;injuryTime;;;90;0;1;;neutral;;;;;;;;6;;;;;;;;;;;;;;;15237889;synthetic-15237889-injuryTime---90-0-1-----4;sofascore;false
01KNDJDQF3575KB837WQB7AKPW;01KNDAWE7SW0N3R8XB5XB1FHDT;5;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q4RDC6402FF31403G;;;card;yellow;;87;;4;true;away;;false;Argument;;;;;;;;;;;;;;;;;;;;15237889;124563540;sofascore;false
01KNDJDQF33JZM8CEQF9B6SWRX;01KNDAWE7SW0N3R8XB5XB1FHDT;6;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S69FQE1BRS53456H6;;;card;yellow;;87;;4;false;home;;false;Argument;;;;;;;;;;;;;;;;;;;;15237889;124563541;sofascore;false
01KNDJDQF36MDAAF90P2R22SVW;01KNDAWE7SW0N3R8XB5XB1FHDT;7;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q0ZES2WWJ3N36SPTJ;01KNDAWE7QMT6CADPRKGPJ9ZC2;;substitution;regular;;85;;6;true;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401574;sofascore;false
01KNDJDQF3QR9A68VWQXG6JXY0;01KNDAWE7SW0N3R8XB5XB1FHDT;8;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SA02P1KVPCTWPF4QB;01KNDAWE7RXY3ZN5AFB5ECFJHW;;substitution;regular;;85;;6;false;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401575;sofascore;false
01KNDJDQF3DFN3XB65CB3B17DM;01KNDAWE7SW0N3R8XB5XB1FHDT;9;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S69FQE1BRS53456H6;;;goal;regular;;84;;7;false;away;;;;;;2;2;;left-foot;regular;regular;goal;8.5;50.6;8.5;50.6;0;49.7;0;50.3;6.7;50.5;15237889;336350287;sofascore;false
01KNDJDQF3CJA9ZK794YFVDTXE;01KNDAWE7SW0N3R8XB5XB1FHDT;10;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S7059WXW1VFKZJJ6G;01KNDAWE7RP8M1R02T7729AYR0;;substitution;regular;;83;;8;false;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401558;sofascore;false
01KNDJDQF4S8W0502MVVEV1NJ7;01KNDAWE7SW0N3R8XB5XB1FHDT;11;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S1Q7SJQVSSTNF8DG2;01KNDAWE7R29RT92D47VF8BB96;;substitution;regular;;83;;8;false;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401557;sofascore;false
01KNDJDQF4QW2B77KVX2YG1NEF;01KNDAWE7SW0N3R8XB5XB1FHDT;12;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S17HCHYRT0KDBD4A6;01KNDAWE7R2KF2A5QV1FVY7458;;substitution;regular;;83;;8;false;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401556;sofascore;false
01KNDJDQF4NV7VW3BW9EBQR1N3;01KNDAWE7SW0N3R8XB5XB1FHDT;13;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7RXY3ZN5AFB5ECFJHW;;;card;yellow;;81;;10;false;home;;false;Foul;;;;;;;;;;;;;;;;;;;;15237889;124563525;sofascore;false
01KNDJDQF48CN6Y7TE01E6HVV9;01KNDAWE7SW0N3R8XB5XB1FHDT;14;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q4RDC6402FF31403G;01KNDAWE7Q5M9HQ01SK8V0Q6F2;;substitution;regular;;76;;15;true;neutral;;;;;false;;;;;;;;;;;;;;;;;;15237889;125401534;sofascore;false
