id;match;team;player;jersey_number;position;substitute;is_missing;slot;minutes_played;rating;source_match_id;source_team_id;source_player_id;source;edited
01KNDJDQF50SSPDT28H2E65WE8;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q2MWZ3BKTJCNJDEJV;4;D;false;false;3;90;6;15237889;1977;914487;sofascore;false
01KNDJDQF555BDWKX4YCFE2SK9;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QMT6CADPRKGPJ9ZC2;17;M;false;false;4;85;6.8;15237889;1977;913598;sofascore;false
01KNDJDQF567BKAAKJYVZJPV26;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QP4Q5BF6PQGA6GSKS;27;F;true;false;;;;15237889;1977;1122552;sofascore;false
01KNDJDQF57G4KRHG1BNS3948C;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QN64VXCCYSPT88KWR;39;M;true;false;;;;15237889;1977;2155474;sofascore;false
01KNDJDQF57Q29AHCZNQTTTWYY;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7Q4RDC6402FF31403G;5;M;true;false;;14;7.1;15237889;1977;1185617;sofascore;false
01KNDJDQF583KA18ZRXW0AGYX7;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QAZP1GP2Y9W8C1KMZ;28;F;true;false;;29;6.5;15237889;1977;871273;sofascore;false
01KNDJDQF58R6YPZCWXEQ0NVKA;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7R6M0GB6WS3DVM3HGK;38;M;true;false;;;;15237889;1977;1829023;sofascore;false
01KNDJDQF58RQ31D32KNXWP6PM;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QEAXWDRB1QB1PYVWD;6;D;false;false;5;90;5.9;15237889;1977;333275;sofascore;false
01KNDJDQF5AH2BSEB7XWWPADNE;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QQJJQHVZCJE0S4DBP;21;D;false;false;2;90;5.9;15237889;1977;822729;sofascore;false
01KNDJDQF5CB35CVX5FH2B1R0P;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QHTJ60TD9R9AB3HHB;7;F;false;false;11;90;6.3;15237889;1977;34705;sofascore;false
