id;player;team;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDDZTB51JWWNQM4TWQT0T8G;01KNDAWE7R2KF2A5QV1FVY7458;01KNDAWE7QAGKJY7409MEKWKJC;881110:1963;sofascore;2026-04-04T23:41:56.966Z;2026-04-04T23:41:56.966Z;2026-04-04T23:41:56.966Z;2026-04-04T23:41:56.966Z
01KNDDZTB52NPFRGDQ02VFSQW1;01KNDAWE7QEAXWDRB1QB1PYVWD;01KNDAWE7Q90VXC95PE58762VS;333275:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB535GRZC1XT7J3CRRJ;01KNDAWE7Q5GQBCD9XR7KD6BGX;01KNDAWE7Q90VXC95PE58762VS;1829022:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB536CFZGQY5V1PCK54;01KNDAWE7RDCHXPHFCZ1D7B2QY;01KNDAWE7Q90VXC95PE58762VS;881844:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB556AFHEKYRFGR2H8N;01KNDAWE7Q9JYEKQ01MARPFYY2;01KNDAWE7Q90VXC95PE58762VS;1829020:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB56T7GP1A67WSTS074;01KNDAWE7RP8M1R02T7729AYR0;01KNDAWE7QAGKJY7409MEKWKJC;984896:1963;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB57A25158R0ANGJJE0;01KNDAWE7Q5M9HQ01SK8V0Q6F2;01KNDAWE7Q90VXC95PE58762VS;1170954:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB58JD1KNAHRMHYB5VW;01KNDAWE7Q2MWZ3BKTJCNJDEJV;01KNDAWE7Q90VXC95PE58762VS;914487:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5926REJGCC6160XXQ;01KNDAWE7QP4Q5BF6PQGA6GSKS;01KNDAWE7Q90VXC95PE58762VS;1122552:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB594XP060K2AZFETMC;01KNDAWE7R9GD8HXS5PRJVHNVV;01KNDAWE7Q90VXC95PE58762VS;1046805:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
