id;match;team;player;total_pass;accurate_pass;total_long_balls;accurate_long_balls;goal_assist;accurate_own_half_passes;total_own_half_passes;accurate_opposition_half_passes;total_opposition_half_passes;aerial_won;duel_won;total_clearance;ball_recovery;was_fouled;good_high_claim;saved_shots_from_inside_the_box;saves;punches;minutes_played;touches;rating;possession_lost_ctrl;expected_assists;total_ball_carries_distance;ball_carries_count;total_progression;keeper_save_value;rating_version_original;rating_version_alternative;total_shots;goals_prevented;pass_value_normalized;dribble_value_normalized;defensive_value_normalized;goalkeeper_value_normalized;statistics_type_sport_slug;statistics_type_name;aerial_lost;duel_lost;total_tackle;won_tackle;unsuccessful_touch;fouls;challenge_lost;outfielder_block;best_ball_carry_progression;total_progressive_ball_carries_distance;progressive_ball_carries_count;interception_won;total_cross;accurate_cross;dispossessed;big_chance_created;shot_off_target;blocked_scoring_attempt;total_offside;expected_goals;key_pass;shot_value_normalized;total_contest;won_contest;on_target_scoring_attempt;goals;expected_goals_on_target;total_keeper_sweeper;accurate_keeper_sweeper;own_goals;big_chance_missed;last_man_tackle;hit_woodwork;error_lead_to_a_shot;clearance_off_line;error_lead_to_a_goal;penalty_conceded;penalty_faced;penalty_won;penalty_miss;penalty_save;source_id;source;edited
01KNCJNCKG1NA8TKP2Q6FVTTA5;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK91MM433KYBQK67CV3;43;41;2;;0;20;20;21;23;1;1;4;2;;;;;;90;50;6;2;0.0098186;127.59248701361;15;53.64686317642;;6;6.4;0;;0.04;0.08;-0.2;;football;player;3;5;;;;1;1;2;15.673998747855;19.416208924504;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:914487;sofascore;false
01KNCJNCKG2VC9V2C3H1PCFVYY;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK94B94VR7B7FK2YZD1;64;58;3;1;0;40;42;18;22;;1;7;4;1;;;;;90;76;5.9;7;0.004896;163.26120369816;20;101.90766638348;;5.9;6.4;0;;0.07;0.12;-0.28;;football;player;5;5;;;;;;;24.742610713177;50.648317395155;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:333275;sofascore;false
01KNCJNCKG5SGSMF60MZF3T0XZ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9NPBPK44YP6N5FE4S;35;27;15;7;0;20;22;7;13;2;3;2;4;1;1;3;4;1;90;48;7.4;10;0.00189822;119.18798107033;15;102.02984222883;0.5589;7.4;7.7;0;0.2073;0.04;0.02;-0.08;0.3;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:870748;sofascore;false
01KNCJNCKGAP8FK8MN72S4M32J;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9PAY2YQ2XZ191MR12;20;19;2;2;0;9;10;10;10;;1;1;2;;;;;;61;29;6.3;6;0.0212357;107.12419533711;14;14.942949609784;;6.3;6.3;0;;0.02;0.03;-0.07;;football;player;;6;1;;2;2;1;;19.831650973762;27.409140975229;1;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;15237889:1977:241488;sofascore;false
01KNCJNCKGDY7DPJDK1ZQ8A9WE;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK94C0BCDRQ4C7FEK8V;37;35;6;4;0;19;19;16;18;;3;3;2;1;;;;;90;46;7.1;4;0.0402645;62.248292272349;10;13.373120726043;;7.1;7.2;1;;0.29;-0.17;0.15;;football;player;;1;2;2;;1;;;;;;;1;;1;;1;;;0.0607;1;-0.05;;;;;;;;;;;;;;;;;;;;15237889:1977:831778;sofascore;false
01KNCJNCKGP7HRZS82XFBGDX3H;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9QMHEVRG420884WDB;29;28;2;2;0;15;16;13;13;;2;;6;;;;;;85;40;6.8;2;0.0429217;135.18151171976;13;41.475818213772;;6.8;7;1;;0.19;0.06;-0.1;;football;player;;1;2;2;1;;1;;31.919723537671;48.844560174159;2;1;2;2;;;;1;;0.0076;2;-0.06;;;;;;;;;;;;;;;;;;;;15237889:1977:913598;sofascore;false
01KNCJNCKGRTZ8ZV4C7HXV8YBZ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9TW6D8BXCG14J2WVM;26;24;;;0;9;11;15;15;;1;;2;;;;;;90;36;5.9;3;0.0106903;4.0407405261907;1;2.5918867156191;;5.9;6.2;0;;0.08;0;-0.4;;football;player;1;3;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:822729;sofascore;false
01KNCJNCKGWJMKBN7M57V09AYK;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9PSGESRQ8KPR9F6FV;45;39;6;3;1;17;19;22;26;;10;3;4;5;;;;;90;75;7.1;11;0.0331751;268.1092201102;26;140.28136109134;;7.1;7.4;2;;0.27;0.18;-0.22;;football;player;;5;5;2;;4;;;38.211914361271;94.518060988173;4;;3;1;1;1;1;1;1;0.0791;3;-0.07;;;;;;;;;;;;;;;;;;;;15237889:1977:851150;sofascore;false
01KNCJNCKH0RYN64NVJK3FZZMB;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKAAM2EY9DF2HYCTN8T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:2155474;sofascore;false
01KNCJNCKH1MG3AC9KQC1B73EY;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAWM4V8WFE4QQ71Z6M;29;22;9;3;0;21;22;1;7;;;1;6;;;1;1;;90;36;6.1;7;0.00036136;79.251224058049;13;11.423852338361;0.0804;6.1;6.3;0;-1.6927;0.01;-0.02;-0.21;-0.24;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;15237889:1963:973738;sofascore;false
