id;slug;name;short_name;first_name;last_name;position;height;country;date_of_birth;source;source_ref;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDAWE7Q0ZES2WWJ3N36SPTJ;reinier;Reinier;Reinier;;;M;185;01KNDAWE6ZYSSJRVV5EMGMPBWY;2002-01-19;sofascore;978562;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q2MWZ3BKTJCNJDEJV;ruan;Ruan;Ruan;;;D;187;01KNDAWE6ZYSSJRVV5EMGMPBWY;1999-06-07;sofascore;914487;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q4RDC6402FF31403G;alexsander;Alexsander;Alexsander;Alexsander;;M;178;01KNDAWE6ZYSSJRVV5EMGMPBWY;2003-10-08;sofascore;1185617;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q5GQBCD9XR7KD6BGX;kaua-pascini;Kauã Pascini;K. P. Resende;Kauã;Pascini Resende;D;172;01KNDAWE6ZYSSJRVV5EMGMPBWY;2008-03-05;sofascore;1829022;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z
01KNDAWE7Q5M9HQ01SK8V0Q6F2;victor-hugo;Victor Hugo;V. Hugo;;;M;184;01KNDAWE6ZYSSJRVV5EMGMPBWY;2004-05-11;sofascore;1170954;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q67QZR4KT08FC3V13;everson;Everson;Everson;;;G;193;01KNDAWE6ZYSSJRVV5EMGMPBWY;1990-07-22;sofascore;870748;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q9JYEKQ01MARPFYY2;vitao;Vitão;V. F. C. Teixeira;Vitor;Fernandes Chaves Teixeira;D;194;01KNDAWE6ZYSSJRVV5EMGMPBWY;2008-03-05;sofascore;1829020;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.536Z;2026-04-04T23:41:56.962Z
01KNDAWE7QAZP1GP2Y9W8C1KMZ;tomas-cuello;Tomás Cuello;T. Cuello;;;M;176;01KNDAWE719PKXHTFZQDZBEK5Z;2000-03-05;sofascore;871273;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QBP74Y7FTEG48QFW9;maycon;Maycon;Maycon;;;M;175;01KNDAWE6ZYSSJRVV5EMGMPBWY;1997-07-15;sofascore;831778;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QDAY8HHMW79584183;gustavo-scarpa;Gustavo Scarpa;G. Scarpa;;;M;177;01KNDAWE6ZYSSJRVV5EMGMPBWY;1994-01-05;sofascore;559036;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QEAXWDRB1QB1PYVWD;junior-alonso;Junior Alonso;J. Alonso;;;D;185;01KNDAWE72WDG4511TFAHRP1QP;1993-02-09;sofascore;333275;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
