id;slug;name;code3;short_name;complete_name;stadium;foundation;primary_color;secondary_color;text_color;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDAWE7Q90VXC95PE58762VS;atletico-mineiro;Atlético Mineiro;CAM;Atlético-MG;Atlético Mineiro;01KNDAWE7PV39HSDT0XY03H3SH;1908-03-25;#000000;#ffffff;#ffffff;1977;sofascore;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7QAGKJY7409MEKWKJC;palmeiras;Palmeiras;PAL;Palmeiras;Palmeiras;01KNDAWE7P0F6WZV3FMQ5MGKA1;1914-08-26;#339966;#336633;#336633;1963;sofascore;2026-04-04T22:47:40.535Z;2026-04-04T23:41:56.962Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDCN5B6SCCX6M5J79SEKMGB;ceara;Ceará;CEA;Ceará;Ceará;;;#000000;#ffffff;#ffffff;2001;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.461Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B7148SW3XWZ3VVYE92;boca-juniors;Boca Juniors;BOC;Boca Juniors;Boca Juniors;;;#003399;#ffcc66;#ffcc66;3202;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B72JFD86VZDXPBADZW;santos;Santos;SAN;Santos;Santos;;;#ffffff;#ffffff;#ffffff;1968;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B75SZMX4NWAMVZEHEE;nottingham-forest;Nottingham Forest;NFO;Forest;Nottingham Forest;;;#cc0000;#cc0000;#cc0000;14;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B768FY5MTSH3A3QDSG;brazil;Brazil;BRA;Brazil;Brazil;;;#ffff00;#009933;#009933;4748;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B76DBX701EDJJ8PMKG;olympique-de-marseille;Olympique de Marseille;OM;Marseille;Olympique de Marseille;;;#ffffff;#66b3ff;#66b3ff;1641;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B77X0WWP9BTVMTTQMN;al-hilal;Al-Hilal;HIL;Al-Hilal;Al-Hilal;;;#0080ff;#0080ff;#0080ff;21895;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B79AV30MQJD2XNJHVB;ca-talleres;CA Talleres;CAT;Talleres;CA Talleres;;;#050040;#ffffff;#ffffff;3210;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z
